id,timestep,pop_r,pop_s,pop_p,pop_d,pop_rec_r,pop_rec_p,pop_car_p,pop_car_r,num_calves,num_dh,num_heifers,num_lactating,num_dry,num_weaned,pop_er,pop_ep,inf_calves,car_calves,ri_calves,rc_calves,inf_weaned,car_weaned,ri_weaned,rc_weaned,inf_heifers,car_heifers,ri_heifers,rc_heifers,inf_dh,car_dh,ri_dh,rc_dh,inf_lactating,car_lactating,ri_lactating,rc_lactating,inf_dry,car_dry,ri_dry,rc_dry,clinical,subclinical,current_b1,current_b2,current_b3,current_b4,current_spring,current_autumn,optimal_stock,treatment_prob,vacc_rate,fpt_rate,pen_decon,treat_calf,treat_lac,iteration,system,simid
1,11,22,244,13,35,23,17,8,10,24,74,4,28,179,51,9,1,0,0,0,0,0,0,0,0,0,0,0,1,11,2,20,3,2,1,2,2,0,5,0,4,0,35,28,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,12,18,243,9,27,34,22,8,10,26,73,4,33,175,51,3,2,0,0,0,0,0,0,0,0,0,0,0,1,7,2,14,3,2,1,4,2,0,5,0,4,0,27,33,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,13,10,248,7,17,43,24,8,10,32,69,5,42,170,50,2,3,0,0,0,0,0,0,0,0,0,0,0,1,5,1,7,2,2,2,3,3,0,5,0,4,0,17,42,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,14,9,247,6,15,44,26,8,10,33,68,6,46,167,49,3,3,0,0,0,0,0,0,0,0,0,0,0,1,5,1,6,2,1,2,3,3,0,5,0,4,0,15,46,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,15,5,246,8,13,49,26,8,10,34,67,7,51,163,48,4,3,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,2,3,2,2,3,0,5,0,4,0,13,51,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,16,4,246,5,9,51,30,8,10,33,67,7,53,161,48,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,2,3,3,0,5,0,4,0,9,53,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,17,3,245,3,6,54,32,8,10,31,66,8,55,160,47,3,2,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,2,1,2,1,3,0,5,1,4,0,6,55,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,18,2,245,1,3,56,35,8,10,32,65,9,59,157,46,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,3,1,3,0,4,0,4,0,3,59,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,19,1,246,2,3,57,35,8,10,33,64,9,62,155,46,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,2,3,0,3,0,4,0,4,0,3,62,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,20,3,247,2,5,58,35,8,10,37,62,10,68,151,45,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,3,2,4,0,4,0,3,0,5,68,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,21,5,247,2,7,58,36,8,10,38,62,10,70,149,45,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,2,2,3,2,4,0,4,0,3,2,5,70,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,22,4,244,1,5,58,37,8,10,38,62,10,72,147,45,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,2,4,0,4,0,3,1,4,72,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,23,4,242,2,5,59,37,8,10,38,62,11,73,146,44,6,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3,3,4,0,4,0,3,1,5,73,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,24,5,242,1,5,60,38,8,10,39,61,12,77,143,43,6,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,4,4,0,3,0,3,1,5,77,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,25,7,240,1,8,61,38,8,10,39,61,12,79,141,43,5,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,1,4,5,4,0,3,0,3,2,6,79,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,26,7,240,1,8,62,38,8,10,42,61,12,82,138,43,6,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,1,4,4,4,0,3,0,3,3,5,82,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,27,7,238,1,8,63,38,8,10,42,61,13,85,135,42,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,1,4,5,4,0,3,0,3,2,6,85,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,28,5,240,0,5,65,39,8,10,45,61,14,91,129,41,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,5,4,0,3,0,3,0,5,91,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,29,7,244,0,7,66,39,8,10,50,59,14,97,125,41,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,5,6,4,0,2,0,3,2,5,97,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,30,5,244,0,5,69,39,8,10,53,56,14,101,123,41,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,3,5,0,2,0,3,1,4,101,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,31,4,247,1,4,70,39,8,10,56,55,16,107,118,39,3,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,2,5,0,2,0,3,2,3,107,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,32,3,249,1,4,70,39,8,10,57,53,17,112,115,38,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,5,2,5,0,2,0,3,0,4,112,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,33,4,252,1,5,70,39,8,10,58,52,18,115,113,37,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,5,2,5,0,2,1,3,0,5,115,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,34,5,254,1,6,72,39,8,10,58,51,19,117,112,36,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,5,3,5,0,2,1,3,0,6,117,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,35,4,254,0,4,74,40,8,10,59,50,20,120,110,35,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,2,5,0,2,1,3,0,4,120,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,36,4,256,0,4,74,40,8,10,63,49,20,125,106,35,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,2,5,0,2,1,3,0,4,125,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,37,1,256,0,1,77,40,8,10,64,48,20,126,106,35,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,1,5,0,2,0,3,0,1,126,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,38,1,256,1,2,77,40,8,10,67,48,22,130,102,33,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,1,5,0,2,0,3,0,2,130,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,39,0,256,1,0,77,41,8,11,69,47,23,132,101,32,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,0,6,0,2,0,3,1,0,132,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,40,2,258,0,2,77,41,8,11,70,46,27,136,98,28,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,2,6,0,2,0,3,0,2,136,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,41,2,259,1,3,77,41,8,11,71,45,30,139,96,25,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,2,6,0,2,0,3,0,3,139,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,42,2,259,1,3,77,41,8,11,73,45,34,142,93,21,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,2,7,0,2,0,2,0,3,142,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,43,1,261,1,2,79,41,8,11,78,43,36,150,87,19,5,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,0,8,0,2,0,1,2,1,150,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,44,1,260,0,1,79,42,8,11,77,42,36,151,87,19,4,2,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,0,8,0,2,0,1,3,0,151,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,45,2,259,0,2,79,42,8,11,78,42,38,154,84,17,5,2,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,1,8,0,2,0,1,4,1,154,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,46,3,256,1,4,79,42,8,11,85,40,39,162,78,16,8,3,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,9,0,2,0,1,6,1,162,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,47,4,250,2,6,80,42,8,11,84,40,41,163,77,14,13,2,2,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,3,9,0,2,0,1,6,3,163,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,48,4,249,3,7,81,42,8,11,85,38,41,168,74,14,17,1,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,9,0,2,0,1,6,2,168,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,49,5,251,1,6,83,42,8,11,90,35,41,176,69,14,13,2,1,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,9,0,2,0,1,8,3,176,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,50,11,245,2,13,83,42,8,11,88,34,41,180,66,14,13,2,2,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,6,9,0,2,0,1,7,8,180,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,51,10,241,2,12,83,42,8,12,85,32,41,183,65,14,16,1,1,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,5,10,0,2,0,1,6,8,183,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,52,15,238,2,17,83,42,8,12,83,32,45,184,64,10,14,0,1,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,7,10,0,2,0,1,9,10,184,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,53,15,236,2,17,85,42,8,12,81,30,45,189,61,10,12,0,1,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,6,10,0,2,0,1,8,9,189,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,54,17,234,1,18,88,42,8,12,79,30,46,191,59,9,7,0,0,0,13,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,4,10,0,2,0,1,8,10,191,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,55,10,231,0,10,93,43,8,12,77,30,47,194,56,8,9,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,10,0,2,0,1,6,4,194,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,56,10,232,0,10,95,43,8,12,78,30,48,198,52,7,6,0,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,11,0,2,0,0,6,4,198,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,57,7,231,0,7,96,43,8,13,77,30,48,201,49,7,7,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,12,0,2,0,0,4,3,201,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,58,9,230,0,9,97,43,8,13,77,29,48,203,48,7,6,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,3,12,0,2,0,0,3,6,203,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,59,9,229,0,9,99,43,8,13,78,29,48,206,45,7,7,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,4,12,0,2,0,0,1,8,206,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,60,6,228,0,6,102,43,8,13,80,27,48,210,43,7,9,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,2,12,0,1,0,0,0,6,210,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,61,9,222,0,9,102,43,8,13,78,26,50,211,43,5,12,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,4,12,0,1,0,0,1,8,211,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,62,13,220,0,13,103,43,8,13,83,23,51,217,40,4,10,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,9,12,0,1,0,0,0,13,217,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,63,16,217,0,16,105,43,8,13,85,23,52,220,37,3,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,11,12,0,1,0,0,2,14,220,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,64,13,218,0,13,110,43,8,13,86,20,52,223,37,3,7,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,9,12,0,1,0,0,2,11,223,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,65,12,219,0,12,115,43,8,13,90,19,52,229,32,3,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,10,12,0,1,0,0,2,10,229,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,66,9,216,0,9,119,43,8,13,87,19,53,229,32,2,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,7,12,0,1,0,0,2,7,229,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,67,9,216,0,9,120,43,8,13,84,19,53,230,31,2,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,8,12,0,1,0,0,1,8,230,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,68,9,216,0,9,122,43,8,13,83,19,54,231,30,1,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,7,12,0,1,0,0,2,7,231,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,69,8,215,0,8,125,43,8,13,81,17,54,233,30,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,6,12,0,1,0,0,2,6,233,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,70,4,215,0,4,128,43,8,13,80,16,54,236,28,5,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,3,12,0,1,0,0,1,3,236,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,71,5,215,0,5,130,43,8,13,82,16,54,238,26,5,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,3,12,0,1,0,0,1,4,238,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,72,6,216,0,6,130,43,8,13,85,13,54,243,24,6,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,4,12,0,1,0,0,1,5,243,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,73,6,214,0,6,130,43,8,13,86,13,54,244,23,6,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,4,12,0,1,0,0,1,5,244,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,74,5,215,0,5,131,43,8,13,86,11,54,246,23,6,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,4,12,0,1,0,0,0,5,246,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,75,6,214,0,6,131,43,8,13,82,11,54,246,23,8,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,5,12,0,1,0,0,0,6,246,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,76,5,215,0,5,134,43,8,13,85,11,54,251,18,8,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,3,12,0,1,0,0,0,5,251,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,77,3,216,0,3,137,43,8,13,86,9,54,254,17,8,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,2,12,0,1,0,0,0,3,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,78,4,217,0,4,137,43,8,13,86,7,55,257,16,9,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,3,12,0,1,0,0,0,4,257,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,79,4,215,0,4,137,42,8,13,84,7,55,256,16,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,4,12,0,1,0,0,0,4,256,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,80,3,215,0,3,138,42,8,13,83,6,55,258,15,10,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,3,12,0,1,0,0,0,3,258,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,81,4,217,0,4,139,42,8,13,87,3,55,263,13,10,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,4,12,0,1,0,0,0,4,263,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,82,7,217,0,7,139,42,8,13,91,2,55,267,10,10,4,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5,12,0,0,0,0,1,6,267,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,83,6,217,0,6,140,42,8,13,92,1,55,271,7,11,5,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,12,0,0,0,0,1,6,271,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,84,5,219,0,5,142,42,8,13,93,1,55,275,3,13,5,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,12,0,0,0,0,0,5,275,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,85,6,218,0,6,143,42,8,13,95,0,55,279,0,14,5,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,2,12,0,0,0,0,1,5,279,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,86,4,218,1,5,145,42,8,13,92,0,55,279,0,14,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,2,12,0,0,0,0,0,6,279,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,87,3,215,1,4,146,42,8,13,90,0,55,279,0,14,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,2,12,0,0,0,0,0,4,279,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,88,4,211,1,5,148,42,8,13,88,0,55,279,0,15,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,3,12,0,0,0,0,1,4,279,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,89,6,207,1,7,148,42,8,13,85,0,55,279,0,16,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,5,12,0,0,0,0,1,6,279,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,90,11,204,1,12,148,42,8,13,81,0,55,279,0,19,7,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,8,5,12,0,0,0,0,2,10,279,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,91,13,183,1,14,141,39,8,11,78,0,55,254,0,22,13,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,1,8,6,10,0,0,0,0,3,11,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,92,13,170,0,13,145,40,8,11,75,0,55,254,0,25,22,0,0,0,3,0,0,0,0,0,0,0,7,1,0,0,0,0,0,8,3,10,0,0,0,0,2,11,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,93,13,168,0,13,150,40,8,11,74,0,55,254,0,26,19,0,0,0,3,0,0,0,0,0,0,0,10,1,0,0,0,0,0,8,0,10,0,0,0,0,2,11,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,94,22,167,0,22,153,40,8,11,71,0,55,254,0,28,7,0,0,0,2,0,0,0,0,0,0,0,20,1,0,0,0,0,0,8,0,10,0,0,0,0,1,21,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,95,22,154,0,22,158,40,8,11,69,0,55,254,0,30,15,0,0,0,1,0,0,0,0,0,0,0,20,1,0,0,0,0,0,8,1,10,0,0,0,0,0,22,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,96,14,148,0,14,168,40,8,11,66,0,55,254,0,33,19,0,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0,0,0,8,1,10,0,0,0,0,0,14,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,97,14,148,0,14,173,40,8,11,64,0,55,254,0,35,14,0,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0,0,0,8,1,10,0,0,0,0,0,14,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,98,20,146,0,20,179,40,8,11,63,0,55,254,0,36,4,0,0,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,8,3,10,0,0,0,0,0,20,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,99,20,145,0,20,181,40,8,11,63,0,55,254,0,36,3,0,0,0,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,8,4,10,0,0,0,0,0,20,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,100,14,143,0,14,188,40,8,11,60,0,55,254,0,39,4,0,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,8,3,10,0,0,0,0,0,14,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,101,10,143,0,10,192,40,8,11,59,0,55,254,0,40,4,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,8,2,10,0,0,0,0,0,10,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,102,6,143,0,6,197,40,8,11,58,0,55,254,0,41,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,8,2,10,0,0,0,0,0,6,254,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
